"county","yyyymm","su_daytime","su_nighttime","win_daytime","win_nighttime"
"08013","2017","-0.6863497","0.6294913","-0.4829804","1.0216201"
"08013","2018","-0.5091432","0.525525","-0.3523709","1.0737755"
"08077","2003","0.8136739","0.76645","0.697867","0.3797873"
"08077","2004","0.9604931","0.8588711","1.7061562","0.7786701"
"08077","2005","0.9703842","0.8874467","0.865828","0.7898927"
"08077","2006","0.8568319","0.8457025","0.537073","0.4775203"
"08077","2007","1.1976115","0.8403714","2.1790667","0.5357057"
"08077","2008","0.8531912","0.8342808","1.5751701","0.6226585"
"08077","2009","0.9499976","0.8295117","1.746544","0.2816038"
"08077","2010","0.9356987","0.6786056","1.7399758","0.9290561"
"08077","2011","0.9779849","0.7698926","1.0708144","0.4865832"
"08077","2012","0.759822","0.8804942","0.5618538","0.6079043"
"08077","2013","1.0893683","0.8693936","1.6769739","0.5890325"
"08077","2014","1.3054432","0.7523609","1.7831022","1.040711"
"08077","2015","1.1353337","0.8028199","0.6795126","0.289978"
"08077","2016","1.0123803","0.8535363","1.1511492","0.6166945"
"08077","2017","0.7577236","0.9502478","0.4151582","0.5385896"
"08077","2018","0.9899936","0.9867972","0.3900796","0.9700287"
"09009","2003","1.5848324","0.4754582","1.554676","1.576334"
"09009","2004","1.8140311","0.8813537","1.2985579","0.7916561"
"09009","2005","1.9439529","0.5755392","1.6103309","1.0673843"
"09009","2006","1.6836348","0.9581781","2.1424694","0.9540315"
"09009","2007","1.6999438","0.7142453","1.3987932","0.8084228"
"09009","2008","1.9908435","0.9622287","2.2397216","1.0685277"
"09009","2009","2.0678109","0.7746822","1.7283293","1.0190644"
"09009","2010","1.7748148","0.7041018","1.0131963","0.9869775"
"09009","2011","1.7277885","0.6962113","1.4802289","1.0470568"
"09009","2012","1.5122281","0.6553342","1.1793773","0.8200656"
"09009","2013","1.9577385","0.766441","1.4283765","1.1341956"
"09009","2014","1.7394592","0.7833676","0.9353216","1.6197698"
"09009","2015","1.8510201","0.7516865","1.6732931","1.3959514"
"09009","2016","1.3199403","0.9957498","1.254216","0.7474032"
"09009","2017","2.1402773","0.8389334","1.2793216","0.4270554"
"09009","2018","1.5052666","0.5301364","0.8355491","0.6229929"
"11001","2003","2.9592796","1.8617574","1.6518079","1.4897521"
"11001","2004","2.9523395","2.1195388","1.2185122","1.3358931"
"11001","2005","2.8855167","2.2505959","1.1778295","1.8175399"
"11001","2006","2.7525836","2.2822624","1.230136","1.4900719"
"11001","2007","2.680016","2.4846222","0.9528536","1.5732655"
"11001","2008","2.849811","2.4362928","1.1062822","1.6249559"
"11001","2009","3.2880656","2.0803638","1.5702721","1.2130283"
"11001","2010","3.0097465","2.2524233","0.9015166","1.2114201"
"11001","2011","3.4466803","2.0218984","1.320859","1.4639519"
"11001","2012","3.1194398","2.1979755","0.8591627","1.7684886"
"11001","2013","3.1284842","1.8789954","0.8303524","1.4661639"
"11001","2014","3.2757317","1.6926519","0.9133858","1.813781"
"11001","2015","3.1735294","1.9496713","1.0360918","1.4012559"
"11001","2016","3.1330586","2.0302407","1.4455402","1.7645142"
"11001","2017","3.1977437","2.0295588","0.8025017","1.0763223"
"11001","2018","3.0921231","1.73576","0.707646","1.6377107"
"12009","2003","1.2290126","0.1264941","0.4300959","0.0150335"
"12009","2004","1.1004847","0.3230661","0.4483409","0.2423267"
"12009","2005","1.316719","0.0814907","0.5463319","0.1455828"
"12009","2006","1.1949904","0.2724074","0.5617149","0.1246081"
"12009","2007","1.3251313","0.2246215","0.5199505","0.1953009"
"12009","2008","1.3206802","0.1925545","0.4215619","0.2244078"
"12009","2009","1.2979092","0.1206833","0.3754766","0.2178544"
"12009","2010","1.1963064","0.334739","0.478828","0.2511818"
"12009","2011","1.003357","0.3268049","0.2894702","0.2976795"
"12009","2012","1.1354464","0.1944043","0.3877741","0.1947711"
"12009","2013","1.1742066","0.0822233","0.4698974","0.1604415"
"12009","2014","1.2451454","0.2075838","0.4535575","0.1607866"
"12009","2015","1.2912864","0.2471823","0.4858134","0.0334782"
"12009","2016","1.1964566","0.2127598","0.5641324","0.0469934"
"12009","2017","1.2180222","0.2181046","0.3093856","0.2798425"
"12009","2018","1.3935562","-0.0370291","0.4890284","0.0857172"
"12073","2003","2.4995181","0.5522811","1.1210967","0.3000698"
"12073","2004","2.8797186","0.5808942","1.1580996","0.3070342"
"12073","2005","2.7812643","0.5013989","1.0963318","0.2173178"
"12073","2006","2.6982112","0.6978138","1.1051839","0.1923571"
"12073","2007","2.4241513","0.659612","1.1724383","0.4775446"
"12073","2008","2.7069555","0.5719297","1.1811625","0.4557995"
"12073","2009","2.9104807","0.5784413","1.2261881","0.2154321"
"12073","2010","2.8789969","0.493757","1.3257059","0.2519284"
"12073","2011","2.4382395","0.6097256","1.2055444","0.2273586"
"12073","2012","2.7012136","0.6878979","1.0561294","0.313806"
"12073","2013","2.7772796","0.5338437","1.2061893","0.2499532"
"12073","2014","2.7645526","0.5903341","1.2301418","0.1806805"
"12073","2015","2.7449522","0.6112986","1.1931244","0.1304785"
"12073","2016","3.0268708","0.589566","1.3279852","0.2019943"
"12073","2017","2.8928581","0.540703","1.2706529","0.2439389"
"12073","2018","3.0680194","0.5733119","1.3777599","0.231873"
"12095","2003","1.9083422","0.4905829","0.8293811","0.3864514"
"12095","2004","1.8080995","0.5756789","0.8781526","0.4781718"
"12095","2005","1.6696898","0.3467495","0.8711337","0.4052647"
"12095","2006","1.6937402","0.620884","0.8874324","0.5012339"
"12095","2007","1.5497599","0.6604158","0.8229336","0.4760776"
"12095","2008","1.8187162","0.5906324","0.7261729","0.4942081"
"12095","2009","1.7562474","0.5001953","0.8960387","0.5186396"
"12095","2010","1.6400014","0.4681439","0.8029246","0.4362154"
"12095","2011","1.6406646","0.493897","0.8290236","0.559875"
"12095","2012","1.7681863","0.5980121","0.7933785","0.5945407"
"12095","2013","1.8176676","0.4263429","0.8210503","0.4358157"
"12095","2014","2.0162924","0.549463","0.9059356","0.4397506"
"12095","2015","1.8244956","0.5387625","0.9505944","0.3284003"
"12095","2016","1.8003688","0.511427","0.9417609","0.4573272"
"12095","2017","1.7169789","0.4190435","0.8958169","0.4843556"
"12095","2018","1.7835236","0.5482189","1.0600655","0.3236989"
"12127","2003","1.0918498","0.4351649","0.5442035","0.3925207"
"12127","2004","1.0069686","0.4852676","0.5118458","0.445972"
"12127","2005","1.4081866","0.4095735","0.5491467","0.5252878"
"12127","2006","1.0224225","0.5870991","0.6622865","0.3462299"
"12127","2007","1.0089592","0.5212184","0.5342115","0.5910338"
"12127","2008","1.0326613","0.4298262","0.672388","0.5799398"
"12127","2009","1.1763892","0.3010678","0.5036665","0.6501686"
"12127","2010","1.2144612","0.4784093","0.6047175","0.3274028"
"12127","2011","1.0782172","0.4754096","0.4256915","0.6597076"
"12127","2012","1.1578435","0.5290258","0.5488541","0.5586414"
"12127","2013","1.2948525","0.4608698","0.3916999","0.4451745"
"12127","2014","1.3605737","0.4720103","0.6514328","0.3340987"
"12127","2015","1.3358901","0.4934006","0.648036","0.4290477"
"12127","2016","1.3397724","0.5423549","0.7698522","0.4011161"
"12127","2017","1.2753229","0.4195725","0.5988181","0.5305144"
"12127","2018","1.4362171","0.3354141","0.6521388","0.3509398"
"13121","2003","1.7372644","0.5022711","0.697683","0.0369049"
"13121","2004","1.4985478","0.4418462","0.6356613","0.0731591"
"13121","2005","1.5331781","0.3842732","0.5644234","0.0488454"
"13121","2006","1.3489477","0.5496562","0.5719845","0.1990036"
"13121","2007","1.3044733","0.649119","0.5026933","0.2548267"
"13121","2008","1.380976","0.6073364","0.5261028","0.0734071"
"13121","2009","1.4828815","0.618917","0.5156938","0.0173024"
"13121","2010","1.4437288","0.4992105","0.5516251","0.1123982"
"13121","2011","1.3951479","0.4638216","0.4162072","0.0050313"
"13121","2012","1.45287","0.6310937","0.4718534","0.2719425"
"13121","2013","1.456861","0.3560761","0.5186458","0.3125329"
"13121","2014","1.4824078","0.5805676","0.3579076","-0.0837618"
"13121","2015","1.6148486","0.4583493","0.4029772","-0.0684096"
"13121","2016","1.4732247","0.5186921","0.553607","0.1552282"
"13121","2017","1.4222935","0.5864857","0.5750631","0.3376161"
"13121","2018","1.6108628","0.5176317","0.5298611","0.0877853"
"13179","2003","2.2475524","0.5688164","0.9214157","0.1211652"
"13179","2004","2.6346832","0.629981","1.0377746","0.1111759"
"13179","2005","2.9388221","0.4967107","1.1823059","0.1012671"
"13179","2006","2.6318602","0.71912","1.3011684","-0.0073156"
"13179","2007","2.2306137","0.7093523","1.0614806","0.3454772"
"13179","2008","2.7173615","0.5144035","1.1472256","0.1886252"
"13179","2009","2.6511626","0.6472103","1.1134151","0.2349099"
"13179","2010","2.6929211","0.4674569","1.1438228","0.186758"
"13179","2011","2.3621158","0.6729477","1.0458553","-0.0377089"
"13179","2012","2.1066689","0.5863835","0.9428173","0.2151256"
"13179","2013","2.4451591","0.7468398","1.1942167","0.0908107"
"13179","2014","2.8111173","0.605775","0.9940386","0.2012759"
"13179","2015","2.2943888","0.612964","1.0145955","0.121976"
"13179","2016","2.2537288","0.5145592","1.005463","0.38362"
"13179","2017","2.1815565","0.4342501","0.9206379","0.2219342"
"13179","2018","2.1926081","0.5368591","1.0868416","0.2050174"
"16027","2003","1.4297293","0.9960904","0.1547636","-0.0102343"
"16027","2004","1.4753656","0.9384837","1.1350035","0.3658194"
"16027","2005","1.1732794","0.8456419","-0.174535","0.1758793"
"16027","2006","1.1298592","0.9488175","0.3524414","-0.097854"
"16027","2007","1.1719391","0.9516343","0.1812944","-0.0060477"
"16027","2008","1.1468678","0.9407732","0.7484104","0.0090281"
"16027","2009","1.3538104","0.9887552","0.2089373","0.0909835"
"16027","2010","1.4360334","0.8329644","0.3447179","0.1492719"
"16027","2011","1.369625","0.9000964","0.4035502","0.0268532"
"16027","2012","1.286967","0.8729024","0.2370947","0.0603974"
"16027","2013","1.1057481","0.9516002","1.3289509","0.2366843"
"16027","2014","1.3370755","0.8369921","1.2654242","0.1284158"
"16027","2015","1.0332548","0.9864839","1.1589067","0.0931631"
"16027","2016","1.4837298","0.8926947","1.0364413","0.0082335"
"16027","2017","1.4903749","0.9640837","1.0376299","0.900744"
"16027","2018","1.4240688","0.9834721","0.5659564","0.1305739"
"22033","2003","2.4804917","0.6575293","1.1581404","0.6211223"
"22033","2004","2.311211","0.7655596","1.2069003","0.5986749"
"22033","2005","2.4269512","0.8178883","1.2800685","0.3960804"
"22033","2006","2.3913518","0.9852974","1.1118973","0.850397"
"22033","2007","2.6076448","0.8007452","1.2137253","0.5564433"
"22033","2008","2.5595866","0.6903003","1.1103262","0.5300069"
"22033","2009","2.3124744","0.796695","1.1355953","0.7047871"
"22033","2010","2.5378249","0.6616993","1.3716255","0.2125487"
"22033","2011","2.3965143","0.7255561","1.0849485","0.6454394"
"22033","2012","2.5431915","0.8124586","1.3704983","0.4816786"
"22033","2013","2.6379536","0.804125","1.2575924","0.5672236"
"22033","2014","2.909401","0.7980986","1.4435623","0.9050618"
"22033","2015","3.0863851","0.7624598","1.4215793","0.6192788"
"22033","2016","3.3865667","0.7783401","1.5566404","0.4385392"
"22033","2017","2.8825405","0.698289","1.420677","0.7754634"
"22033","2018","2.9255741","0.699089","1.4837672","0.3119587"
"22071","2003","5.1577215","0.9755477","2.116204","0.7248047"
"22071","2004","5.1978951","1.245659","1.9923193","0.6913318"
"22071","2005","5.073646","1.3573941","2.1856839","0.4870767"
"22071","2006","5.3801849","1.4471233","2.262993","0.5057701"
"22071","2007","5.8826672","1.220389","2.0757823","0.3245296"
"22071","2008","5.6715199","1.2927783","1.7650014","0.201831"
"22071","2009","5.4574046","1.4564985","1.9153696","0.1380807"
"22071","2010","5.0444428","1.0404198","2.2801151","0.1492505"
"22071","2011","5.7659143","1.3323756","1.8703759","0.579243"
"22071","2012","5.6736839","0.9536934","1.9770992","0.4678317"
"22071","2013","5.4044623","1.0963117","2.007667","0.3616216"
"22071","2014","5.7420787","1.2723158","2.169104","0.4104767"
"22071","2015","5.619878","1.239733","2.0687024","0.6648494"
"22071","2016","5.8194563","1.1321676","2.4913128","0.2816165"
"22071","2017","5.3937751","0.9623256","2.2705876","0.4046539"
"22071","2018","6.3155685","1.3686971","2.1699761","0.5683274"
"36029","2003","2.1903233","0.792818","0.7936695","0.2230908"
"36029","2004","2.2334898","0.6798001","0.4326111","1.058619"
"36029","2005","1.7421944","0.6969719","0.9029309","1.2729747"
"36029","2006","1.9929542","0.9167489","1.1947344","0.7701325"
"36029","2007","1.8813894","1.029038","1.0120586","0.5945904"
"36029","2008","2.2615455","0.7316728","1.2757604","1.2292171"
"36029","2009","2.5934179","0.7417066","0.5686077","0.4723183"
"36029","2010","2.3462126","0.6239441","-0.1035211","0.5616818"
"36029","2011","1.8313235","0.7308785","0.5630749","0.8155315"
"36029","2012","1.7508399","0.8857329","0.4497541","0.3060887"
"36029","2013","2.3877172","0.6822588","0.9950136","0.3746624"
"36029","2014","2.3821076","0.819251","1.2843075","0.8846601"
"36029","2015","2.365635","0.6763797","0.3536464","0.7898628"
"36029","2016","1.906884","0.8863036","0.0549927","0.5948113"
"36029","2017","2.3956469","0.7456129","0.8138528","0.4995453"
"36029","2018","1.8931732","0.8670038","1.0798923","0.7190528"
"36045","2003","1.4799265","0.454199","0.6274753","0.5779014"
