"","county_fips","county","state","start.year","end.year","stroke","age"
"237",1073,"Jefferson","Alabama",2011,2013,"37.00","45-64"
"238",1073,"Jefferson","Alabama",2005,2007,"41.60","45-64"
"239",1073,"Jefferson","Alabama",2006,2008,"426.90",">= 65"
"240",1073,"Jefferson","Alabama",2010,2012,"350.00",">= 65"
"241",1073,"Jefferson","Alabama",2017,2019,"33.50","45-64"
"242",1073,"Jefferson","Alabama",2009,2011,"38.60","45-64"
"243",1073,"Jefferson","Alabama",2007,2009,"402.30",">= 65"
"244",1073,"Jefferson","Alabama",2012,2014,"35.90","45-64"
"245",1073,"Jefferson","Alabama",2015,2017,"392.90",">= 65"
"246",1073,"Jefferson","Alabama",2013,2015,"370.80",">= 65"
"247",1073,"Jefferson","Alabama",2013,2015,"36.50","45-64"
"248",1073,"Jefferson","Alabama",2016,2018,"391.90",">= 65"
"249",1073,"Jefferson","Alabama",2006,2008,"47.80","45-64"
"250",1073,"Jefferson","Alabama",2015,2017,"38.80","45-64"
"251",1073,"Jefferson","Alabama",2007,2009,"46.90","45-64"
"252",1073,"Jefferson","Alabama",2008,2010,"44.50","45-64"
"253",1073,"Jefferson","Alabama",2005,2007,"436.20",">= 65"
"254",1073,"Jefferson","Alabama",2009,2011,"346.70",">= 65"
"255",1073,"Jefferson","Alabama",2016,2018,"38.20","45-64"
"256",1073,"Jefferson","Alabama",2017,2019,"402.00",">= 65"
"257",1073,"Jefferson","Alabama",2014,2016,"384.60",">= 65"
"258",1073,"Jefferson","Alabama",2012,2014,"357.60",">= 65"
"259",1073,"Jefferson","Alabama",2008,2010,"379.00",">= 65"
"260",1073,"Jefferson","Alabama",2010,2012,"37.00","45-64"
"261",1077,"Lauderdale","Alabama",2010,2012,"32.60","45-64"
"262",1077,"Lauderdale","Alabama",2007,2009,"33.70","45-64"
"263",1077,"Lauderdale","Alabama",2017,2019,"29.00","45-64"
"264",1077,"Lauderdale","Alabama",2014,2016,"337.60",">= 65"
"265",1077,"Lauderdale","Alabama",2014,2016,"30.50","45-64"
"266",1077,"Lauderdale","Alabama",2017,2019,"311.90",">= 65"
"267",1077,"Lauderdale","Alabama",2008,2010,"332.90",">= 65"
"268",1077,"Lauderdale","Alabama",2012,2014,"30.20","45-64"
"269",1077,"Lauderdale","Alabama",2012,2014,"350.50",">= 65"
"270",1077,"Lauderdale","Alabama",2015,2017,"25.70","45-64"
"271",1077,"Lauderdale","Alabama",2009,2011,"330.20",">= 65"
"272",1077,"Lauderdale","Alabama",2005,2007,"379.90",">= 65"
"273",1077,"Lauderdale","Alabama",2011,2013,"27.50","45-64"
"274",1077,"Lauderdale","Alabama",2006,2008,"357.00",">= 65"
"275",1077,"Lauderdale","Alabama",2015,2017,"326.40",">= 65"
"276",1077,"Lauderdale","Alabama",2005,2007,"26.30","45-64"
"277",1077,"Lauderdale","Alabama",2016,2018,"305.00",">= 65"
"278",1077,"Lauderdale","Alabama",2013,2015,"29.80","45-64"
"279",1077,"Lauderdale","Alabama",2009,2011,"31.70","45-64"
"280",1077,"Lauderdale","Alabama",2010,2012,"326.70",">= 65"
"281",1077,"Lauderdale","Alabama",2008,2010,"36.40","45-64"
"282",1077,"Lauderdale","Alabama",2011,2013,"359.70",">= 65"
"283",1077,"Lauderdale","Alabama",2013,2015,"361.70",">= 65"
"284",1077,"Lauderdale","Alabama",2016,2018,"25.50","45-64"
"285",1077,"Lauderdale","Alabama",2006,2008,"32.00","45-64"
"286",1077,"Lauderdale","Alabama",2007,2009,"343.10",">= 65"
"287",1077,"Lauderdale","Alabama",2010,2012,"32.60","45-64"
"288",1077,"Lauderdale","Alabama",2007,2009,"33.70","45-64"
"289",1077,"Lauderdale","Alabama",2017,2019,"29.00","45-64"
"290",1077,"Lauderdale","Alabama",2014,2016,"337.60",">= 65"
"291",1077,"Lauderdale","Alabama",2014,2016,"30.50","45-64"
"292",1077,"Lauderdale","Alabama",2017,2019,"311.90",">= 65"
"293",1077,"Lauderdale","Alabama",2008,2010,"332.90",">= 65"
"294",1077,"Lauderdale","Alabama",2012,2014,"30.20","45-64"
"295",1077,"Lauderdale","Alabama",2012,2014,"350.50",">= 65"
"296",1077,"Lauderdale","Alabama",2015,2017,"25.70","45-64"
"297",1077,"Lauderdale","Alabama",2009,2011,"330.20",">= 65"
"298",1077,"Lauderdale","Alabama",2005,2007,"379.90",">= 65"
"299",1077,"Lauderdale","Alabama",2011,2013,"27.50","45-64"
"300",1077,"Lauderdale","Alabama",2006,2008,"357.00",">= 65"
"301",1077,"Lauderdale","Alabama",2015,2017,"326.40",">= 65"
"302",1077,"Lauderdale","Alabama",2005,2007,"26.30","45-64"
"303",1077,"Lauderdale","Alabama",2016,2018,"305.00",">= 65"
"304",1077,"Lauderdale","Alabama",2013,2015,"29.80","45-64"
"305",1077,"Lauderdale","Alabama",2009,2011,"31.70","45-64"
"306",1077,"Lauderdale","Alabama",2010,2012,"326.70",">= 65"
"307",1077,"Lauderdale","Alabama",2008,2010,"36.40","45-64"
"308",1077,"Lauderdale","Alabama",2011,2013,"359.70",">= 65"
"309",1077,"Lauderdale","Alabama",2013,2015,"361.70",">= 65"
"310",1077,"Lauderdale","Alabama",2016,2018,"25.50","45-64"
"311",1077,"Lauderdale","Alabama",2006,2008,"32.00","45-64"
"312",1077,"Lauderdale","Alabama",2007,2009,"343.10",">= 65"
"313",1081,"Lee","Alabama",2008,2010,"35.10","45-64"
"314",1081,"Lee","Alabama",2010,2012,"31.00","45-64"
"315",1081,"Lee","Alabama",2009,2011,"334.80",">= 65"
"316",1081,"Lee","Alabama",2010,2012,"294.80",">= 65"
"317",1081,"Lee","Alabama",2009,2011,"32.90","45-64"
"318",1081,"Lee","Alabama",2011,2013,"276.50",">= 65"
"319",1081,"Lee","Alabama",2012,2014,"282.00",">= 65"
"320",1081,"Lee","Alabama",2008,2010,"348.90",">= 65"
"321",1081,"Lee","Alabama",2007,2009,"35.70","45-64"
"322",1081,"Lee","Alabama",2017,2019,"308.50",">= 65"
"323",1081,"Lee","Alabama",2017,2019,"27.30","45-64"
"324",1081,"Lee","Alabama",2012,2014,"30.60","45-64"
"325",1081,"Lee","Alabama",2013,2015,"31.90","45-64"
"326",1081,"Lee","Alabama",2014,2016,"28.30","45-64"
"327",1081,"Lee","Alabama",2006,2008,"351.90",">= 65"
"328",1081,"Lee","Alabama",2006,2008,"36.50","45-64"
"329",1081,"Lee","Alabama",2011,2013,"30.20","45-64"
"330",1081,"Lee","Alabama",2013,2015,"293.20",">= 65"
"331",1081,"Lee","Alabama",2014,2016,"294.80",">= 65"
"332",1081,"Lee","Alabama",2015,2017,"271.50",">= 65"
"333",1081,"Lee","Alabama",2007,2009,"349.40",">= 65"
"334",1081,"Lee","Alabama",2016,2018,"271.50",">= 65"
"335",1081,"Lee","Alabama",2005,2007,"33.00","45-64"
"336",1081,"Lee","Alabama",2016,2018,"25.60","45-64"
"337",1081,"Lee","Alabama",2015,2017,"20.80","45-64"
"338",1081,"Lee","Alabama",2005,2007,"412.70",">= 65"
"339",1081,"Lee","Alabama",2008,2010,"35.10","45-64"
"340",1081,"Lee","Alabama",2010,2012,"31.00","45-64"
"341",1081,"Lee","Alabama",2009,2011,"334.80",">= 65"
"342",1081,"Lee","Alabama",2010,2012,"294.80",">= 65"
"343",1081,"Lee","Alabama",2009,2011,"32.90","45-64"
"344",1081,"Lee","Alabama",2011,2013,"276.50",">= 65"
"345",1081,"Lee","Alabama",2012,2014,"282.00",">= 65"
"346",1081,"Lee","Alabama",2008,2010,"348.90",">= 65"
"347",1081,"Lee","Alabama",2007,2009,"35.70","45-64"
"348",1081,"Lee","Alabama",2017,2019,"308.50",">= 65"
"349",1081,"Lee","Alabama",2017,2019,"27.30","45-64"
"350",1081,"Lee","Alabama",2012,2014,"30.60","45-64"
"351",1081,"Lee","Alabama",2013,2015,"31.90","45-64"
"352",1081,"Lee","Alabama",2014,2016,"28.30","45-64"
"353",1081,"Lee","Alabama",2006,2008,"351.90",">= 65"
"354",1081,"Lee","Alabama",2006,2008,"36.50","45-64"
"355",1081,"Lee","Alabama",2011,2013,"30.20","45-64"
"356",1081,"Lee","Alabama",2013,2015,"293.20",">= 65"
"357",1081,"Lee","Alabama",2014,2016,"294.80",">= 65"
"358",1081,"Lee","Alabama",2015,2017,"271.50",">= 65"
"359",1081,"Lee","Alabama",2007,2009,"349.40",">= 65"
"360",1081,"Lee","Alabama",2016,2018,"271.50",">= 65"
"361",1081,"Lee","Alabama",2005,2007,"33.00","45-64"
"362",1081,"Lee","Alabama",2016,2018,"25.60","45-64"
"363",1081,"Lee","Alabama",2015,2017,"20.80","45-64"
"364",1081,"Lee","Alabama",2005,2007,"412.70",">= 65"
"365",1089,"Madison","Alabama",2013,2015,"26.90","45-64"
"366",1089,"Madison","Alabama",2006,2008,"302.30",">= 65"
"367",1089,"Madison","Alabama",2017,2019,"23.30","45-64"
"368",1089,"Madison","Alabama",2007,2009,"297.90",">= 65"
"369",1089,"Madison","Alabama",2005,2007,"332.30",">= 65"
"370",1089,"Madison","Alabama",2014,2016,"28.90","45-64"
"371",1089,"Madison","Alabama",2012,2014,"263.90",">= 65"
"372",1089,"Madison","Alabama",2014,2016,"282.20",">= 65"
"373",1089,"Madison","Alabama",2007,2009,"17.50","45-64"
