"county_fips","county","state","year","asthma"
39113,"Montgomery","Ohio",2019,11
39113,"Montgomery","Ohio",2018,9.8
39139,"Richland","Ohio",2019,10.4
39139,"Richland","Ohio",2018,9.7
39151,"Stark","Ohio",2019,10.8
39151,"Stark","Ohio",2018,9.8
39153,"Summit","Ohio",2019,10.4
39153,"Summit","Ohio",2018,9.5
40027,"Cleveland","Oklahoma",2018,9.5
40027,"Cleveland","Oklahoma",2019,9.5
40031,"Comanche","Oklahoma",2019,10.4
40031,"Comanche","Oklahoma",2018,10.4
40109,"Oklahoma","Oklahoma",2018,10.7
40109,"Oklahoma","Oklahoma",2019,10.1
40143,"Tulsa","Oklahoma",2018,10.1
40143,"Tulsa","Oklahoma",2019,9.6
41003,"Benton","Oregon",2018,10.3
41003,"Benton","Oregon",2019,10.3
41017,"Deschutes","Oregon",2018,10
41017,"Deschutes","Oregon",2019,9.7
41029,"Jackson","Oregon",2019,10.4
41029,"Jackson","Oregon",2018,11.6
41033,"Josephine","Oregon",2019,11
41033,"Josephine","Oregon",2018,11.6
41039,"Lane","Oregon",2018,11.4
41039,"Lane","Oregon",2019,11.2
41043,"Linn","Oregon",2018,11.3
41043,"Linn","Oregon",2019,11.1
41047,"Marion","Oregon",2018,11.5
41047,"Marion","Oregon",2019,10.6
41051,"Multnomah","Oregon",2018,10.7
41051,"Multnomah","Oregon",2019,9.9
42003,"Allegheny","Pennsylvania",2018,9.9
42003,"Allegheny","Pennsylvania",2019,10
42011,"Berks","Pennsylvania",2019,10
42011,"Berks","Pennsylvania",2018,10.1
42013,"Blair","Pennsylvania",2018,10.4
42013,"Blair","Pennsylvania",2019,10.8
42021,"Cambria","Pennsylvania",2019,10.7
42021,"Cambria","Pennsylvania",2018,10.6
42027,"Centre","Pennsylvania",2019,9.9
42027,"Centre","Pennsylvania",2018,9.6
42037,"Columbia","Pennsylvania",2018,10.7
42037,"Columbia","Pennsylvania",2019,10.6
42043,"Dauphin","Pennsylvania",2019,10.4
42043,"Dauphin","Pennsylvania",2018,10.1
42049,"Erie","Pennsylvania",2019,10.4
42049,"Erie","Pennsylvania",2018,10.4
42051,"Fayette","Pennsylvania",2019,11
42051,"Fayette","Pennsylvania",2018,10.9
42055,"Franklin","Pennsylvania",2018,10.4
42055,"Franklin","Pennsylvania",2019,10.2
42069,"Lackawanna","Pennsylvania",2018,10.2
42069,"Lackawanna","Pennsylvania",2019,10
42071,"Lancaster","Pennsylvania",2018,10.3
42071,"Lancaster","Pennsylvania",2019,10.3
42075,"Lebanon","Pennsylvania",2019,9.9
42075,"Lebanon","Pennsylvania",2018,10.1
42077,"Lehigh","Pennsylvania",2018,9.8
42077,"Lehigh","Pennsylvania",2019,9.5
42079,"Luzerne","Pennsylvania",2019,10.1
42079,"Luzerne","Pennsylvania",2018,10.2
42081,"Lycoming","Pennsylvania",2018,10.3
42081,"Lycoming","Pennsylvania",2019,10.5
42089,"Monroe","Pennsylvania",2019,10.1
42089,"Monroe","Pennsylvania",2018,10.1
42091,"Montgomery","Pennsylvania",2018,9.2
42091,"Montgomery","Pennsylvania",2019,9.5
42101,"Philadelphia","Pennsylvania",2018,11.7
42101,"Philadelphia","Pennsylvania",2019,11.4
42129,"Westmoreland","Pennsylvania",2019,9.9
42129,"Westmoreland","Pennsylvania",2018,10
42133,"York","Pennsylvania",2018,9.9
42133,"York","Pennsylvania",2019,9.9
44007,"Providence","Rhode Island",2019,11.6
44007,"Providence","Rhode Island",2018,11.8
45007,"Anderson","South Carolina",2018,9.7
45007,"Anderson","South Carolina",2019,9.9
45013,"Beaufort","South Carolina",2018,8.4
45013,"Beaufort","South Carolina",2019,8.4
45019,"Charleston","South Carolina",2019,9.4
45019,"Charleston","South Carolina",2018,9.2
45041,"Florence","South Carolina",2018,10
45041,"Florence","South Carolina",2019,10.3
